bathrooms,floors,waterfront,view,condition_3,condition_4,condition_5,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,basement,renovated,yr_built,sqft_living15,logSqftLot15
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1955,1340,8.6394108241
2.25,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1951,1690,8.9410219835
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1933,2720,8.9949169437
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1960,1780,9.0012229924
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,2390,8.9319483464
1,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1927,1780,9.4491210241
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1977,1370,9.2309270056
3,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1979,2140,8.2940496401
1,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1916,1610,8.3663703017
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1921,1060,8.5360149457
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1947,1400,8.51318517
2.75,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1968,4110,9.9201479934
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1995,2240,8.8543794588
1.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1985,1220,9.0343189277
1,1.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1909,1860,8.2586814963
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2003,2580,8.2890370983
1.5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,1390,7.4707937742
1.75,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1929,1460,8.5171931914
2.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1981,2020,9.0733745169
2.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1984,2410,10.329310689
1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1922,1580,7.8785341961
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1959,1340,9.0834156784
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1953,970,8.5369958187
2.5,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1953,2680,11.191521135
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1955,1190,9.1446278286
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1981,1480,8.815518424
2.25,1.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1927,2730,8.6995147482
3.25,2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1968,2960,9.3096425731
2.25,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1959,2570,9.846917201
1.75,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1973,2500,9.1590470776
2.25,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1979,1440,8.3138522674
2.75,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1925,1440,8.2940496401
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1968,1010,9.4442260198
2.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1965,3390,9.9113565109
3.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1973,3530,10.569186452
1.75,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1965,1940,10.830302708
4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1986,3240,10.463674606
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1956,1680,8.9226582995
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1941,890,8.5291217623
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1956,1130,8.646992629
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1992,1870,8.7648342143
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1952,1570,8.8822528849
2.25,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1979,1950,7.6133249795
1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1975,1160,8.7640532693
1.75,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1980,1650,11.813296689
2.5,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,2550,10.464958761
2,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1929,1610,8.1542126949
2.25,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1983,2570,10.774299631
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1950,2370,9.0012229924
1.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1985,1270,8.5103699661
1.75,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1942,2500,9.1519694586
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1980,1540,9.3635763479
2.5,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2001,2640,9.0498194451
3.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1900,1830,8.7562100919
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1945,1190,8.8217323809
2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1950,1880,9.1049798563
1,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1925,1610,8.303999971
2.5,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1964,2340,9.2924732015
2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1987,1580,9.1164691564
2.25,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1990,2700,9.5462410167
2.75,1.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1914,3060,9.3303431644
2.25,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1967,2660,9.0724566646
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1986,1420,8.9463748261
3.5,1.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1989,2480,11.390757831
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1968,1750,9.004545459
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1981,1060,8.6508495762
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1962,1610,9.0570726356
2.5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1994,2840,11.384989816
1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1905,2200,8.2940496401
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2007,1940,12.174798673
2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1960,1360,9.7981270369
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1947,1450,8.4335941675
2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,1500,8.0359263699
3.25,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2006,3160,9.185022564
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1942,1010,8.5369958187
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1967,1190,8.9449415078
2,1.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1916,1160,8.8815584886
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1962,1200,9.1757489272
2.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,3400,9.4415314549
2.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1979,1710,9.0060185749
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1976,1640,8.9226582995
1.75,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1949,1830,9.185022564
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,2920,8.4118326758
2.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1979,2480,9.0768089794
2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1964,1770,8.8939844389
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1978,1930,8.9024555922
2.25,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1980,2260,9.0282187952
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1901,1200,8.4763711969
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1949,1540,9.0215982474
3,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1925,1410,8.589513853
1.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,1050,8.1365182521
1.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1969,2190,9.0949295205
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1987,2030,9.0761230299
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1959,1230,8.9846936904
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2003,2550,8.5173931714
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1969,1560,10.838894402
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1952,1680,8.5171931914
1.75,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1966,2770,9.2821027382
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1915,1290,8.5171931914
0.75,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1941,1250,9.5666152359
3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1920,1560,7.1793079695
2.25,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1993,1630,8.7635844095
2.25,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2014,1160,7.1906760343
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1923,1100,9.579072337
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1320,8.5923006639
1.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1947,2120,9.3959897189
2.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1999,3070,9.0029471308
2.25,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,2020,8.9910643322
2.25,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1942,1280,8.9081536133
2.25,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1978,1510,9.185330209
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1961,1960,9.4779217727
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2004,2250,8.4614690426
1.75,2,1,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1915,2030,9.4874416649
2.75,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1978,2120,9.0162700681
4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1983,3430,10.465842443
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1968,1190,9.0641578618
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1954,1260,9.025936649
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1990,2570,9.2473470976
1.75,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1918,1390,8.0063675677
2.25,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1991,1730,10.497477162
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1979,1380,9.2200926634
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2006,2990,8.6410024771
1,1.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1911,1660,8.3893598199
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1960,1600,9.0442857876
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1930,1330,7.8555446779
2.5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1988,1950,8.9193193983
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1954,1130,8.7562100919
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1937,1320,8.4040244933
4.75,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1989,4180,10.767284269
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1967,1350,9.0074895239
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2006,2653,8.5024855625
2.75,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2014,1860,9.403931521
2.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1997,2670,10.807402013
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1931,1650,9.0796620483
3,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1905,3050,8.9300972286
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2005,3920,8.9700506618
2.25,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1979,2300,9.185022564
2.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1985,2310,9.2398991742
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1954,1520,9.5124429671
1.75,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1975,2120,9.1695183775
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,2280,9.2040204432
2.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,3150,9.3390853279
2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1993,1740,8.8978190095
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,2400,8.8846102319
1.75,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1957,1630,9.1107410068
2.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1948,2190,8.8969985527
1.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1913,1740,8.2940496401
2.25,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1984,2250,9.1881970073
2.75,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1960,2720,9.0276187352
1.75,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1915,1660,11.269681242
3.25,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1997,3860,9.327589932
3.25,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1997,3860,9.327589932
2.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1979,2150,8.9024555922
2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1948,1570,9.007244516
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1943,1310,9.0796620483
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1922,1820,8.9173106932
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1987,3080,10.485172305
2,1.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1922,2320,8.6125033712
3.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1951,2370,8.7193173755
1.75,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1955,1590,8.9815559408
1.75,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1957,1580,9.0700432864
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1943,1020,8.8731879041
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1930,1360,10.378354337
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1973,2040,9.0648520652
0.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1967,1300,9.8630300749
2.75,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1965,2610,9.2281802901
1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1969,1640,10.028091716
1.75,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1955,1600,8.6597338782
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1928,1340,9.7806982564
2.5,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2000,1520,8.6569551338
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1992,1580,10.254109212
2.5,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1966,2920,9.0825070005
2.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1989,2770,10.100738772
2.25,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1993,1430,8.8846102319
3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2004,2860,9.1820437728
2.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2004,3480,8.9155665457
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1940,1770,9.4414520929
3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1997,1680,8.9226582995
1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,3130,9.8968656762
3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1986,3360,9.5569043722
2.25,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2001,2300,8.8436150922
2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1983,1410,9.1695183775
2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1979,1710,8.9024555922
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1993,1880,9.3926619288
1.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1954,1610,9.2123383746
1,1.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1957,1450,8.9385316487
2.75,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1979,1950,7.9571773235
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2005,1790,10.230738835
2.5,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1983,3600,9.7143226333
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1950,2000,9.1695183775
2.5,1.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1909,1060,8.1605182475
1.75,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1968,1390,9.0768089794
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1974,1880,9.7387897805
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,1820,8.8688354928
3.25,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2001,1510,7.2093402566
2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,1290,8.0817842069
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1995,2090,8.8530938361
