logPrice,logBedroom,bathrooms,floors,waterfront,view,condition,condition_1,condition_2,condition_3,condition_4,condition_5,grade,gradeSquare,gradeCube,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,basement,renovated,yr_built,sqft_living15,logSqftLot15
13.311329477,1.3862943611,3,1,0,0,5,0,0,0,0,1,7,49,343,0,0,0,1,0,0,0,0,0,0,1,0,1965,1360,8.5171931914
13.142166005,1.0986122887,2,1,0,0,3,0,0,1,0,0,8,64,512,0,0,0,0,1,0,0,0,0,0,0,0,1987,1800,8.9230582195
14.022524727,1.3862943611,4.5,1,0,0,3,0,0,1,0,0,11,121,1331,0,0,0,0,0,0,0,1,0,0,1,0,2001,4760,11.532041582
12.458774999,1.0986122887,2.25,2,0,0,3,0,0,1,0,0,7,49,343,0,0,0,1,0,0,0,0,0,0,0,0,1995,2238,8.8274681125
12.583995251,1.0986122887,1.5,1,0,0,3,0,0,1,0,0,7,49,343,0,0,0,1,0,0,0,0,0,0,0,0,1963,1650,9.1810145426
13.403775837,1.0986122887,2.5,1,0,0,3,0,0,1,0,0,8,64,512,0,0,0,0,1,0,0,0,0,0,1,0,1965,2210,9.0966116066
13.056223575,0.6931471806,1,1,0,0,4,0,0,0,1,0,7,49,343,0,0,0,1,0,0,0,0,0,0,1,0,1942,1330,8.6995147482
13.180632286,1.6094379124,2,1.5,0,0,3,0,0,1,0,0,7,49,343,0,0,0,1,0,0,0,0,0,0,0,0,1900,1360,8.4867339839
12.886641044,1.0986122887,2,2,0,0,3,0,0,1,0,0,7,49,343,0,0,0,1,0,0,0,0,0,0,0,0,1994,1890,9.5480974971
12.345834588,1.0986122887,1,1,0,0,4,0,0,0,1,0,7,49,343,0,0,0,1,0,0,0,0,0,0,0,0,1969,1280,9.088172738
12.70381303,1.0986122887,2.25,2,0,0,4,0,0,0,1,0,8,64,512,0,0,0,0,1,0,0,0,0,0,0,0,1985,2200,8.8341913182
12.358793733,1.0986122887,2,1.5,0,0,5,0,0,0,0,1,6,36,216,0,0,1,0,0,0,0,0,0,0,0,0,1941,1030,8.456381052
13.750438561,1.0986122887,1.75,2,0,0,3,0,0,1,0,0,8,64,512,0,0,0,0,1,0,0,0,0,0,1,0,1915,1760,8.181160858
12.989974189,1.0986122887,1.75,1,0,0,3,0,0,1,0,0,7,49,343,0,0,0,1,0,0,0,0,0,0,1,0,1948,1520,8.7379338581
