observation,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
1,221900,3,1,1,0,0,3,7,0,1955,0,47.5112,-122.257,1340,5650
2,538000,3,2.25,2,0,0,3,7,400,1951,1991,47.721,-122.319,1690,7639
3,180000,2,1,1,0,0,3,6,0,1933,0,47.7379,-122.233,2720,8062
4,604000,4,3,1,0,0,5,7,910,1965,0,47.5208,-122.393,1360,5000
5,510000,3,2,1,0,0,3,8,0,1987,0,47.6168,-122.045,1800,7503
6,1.23E+06,4,4.5,1,0,0,3,11,1530,2001,0,47.6561,-122.005,4760,101930
7,257500,3,2.25,2,0,0,3,7,0,1995,0,47.3097,-122.327,2238,6819
8,291850,3,1.5,1,0,0,3,7,0,1963,0,47.4095,-122.315,1650,9711
9,229500,3,1,1,0,0,3,7,730,1960,0,47.5123,-122.337,1780,8113
10,323000,3,2.5,2,0,0,3,7,0,2003,0,47.3684,-122.031,2390,7570
11,662500,3,2.5,1,0,0,3,8,1700,1965,0,47.6007,-122.145,2210,8925
12,468000,2,1,1,0,0,4,7,300,1942,0,47.69,-122.292,1330,6000
13,310000,3,1,1.5,0,0,4,7,0,1927,0,47.7558,-122.229,1780,12697
14,400000,3,1.75,1,0,0,4,7,0,1977,0,47.6127,-122.045,1370,10208
15,530000,5,2,1.5,0,0,3,7,0,1900,0,47.67,-122.394,1360,4850
16,650000,4,3,2,0,3,3,9,970,1979,0,47.5714,-122.375,2140,4000
17,395000,3,2,2,0,0,3,7,0,1994,0,47.7277,-121.962,1890,14018
18,485000,4,1,1.5,0,0,4,7,0,1916,0,47.6648,-122.343,1610,4300
19,189000,2,1,1,0,0,4,7,0,1921,0,47.3089,-122.21,1060,5095
20,230000,3,1,1,0,0,4,7,0,1969,0,47.3343,-122.306,1280,8850
21,385000,4,1.75,1,0,0,4,7,760,1947,0,47.7025,-122.341,1400,4980
22,2.00E+06,3,2.75,1,0,4,3,9,720,1968,0,47.5316,-122.233,4110,20336
23,285000,5,2.5,2,0,0,3,8,0,1995,0,47.3266,-122.169,2240,7005
24,252700,2,1.5,1,0,0,3,7,0,1985,0,47.3533,-122.166,1220,8386
25,329000,3,2.25,2,0,0,4,8,0,1985,0,47.3739,-122.172,2200,6865
26,233000,3,2,1.5,0,0,5,6,0,1941,0,47.3048,-122.218,1030,4705
27,937000,3,1.75,2,0,0,3,8,700,1915,0,47.6386,-122.36,1760,3573
28,667000,3,1,1.5,0,0,5,8,0,1909,0,47.6221,-122.314,1860,3861
29,438000,3,1.75,1,0,0,3,7,730,1948,0,47.695,-122.304,1520,6235
30,719000,4,2.5,2,0,0,3,8,0,2005,0,47.7073,-122.11,2630,6026
31,580500,3,2.5,2,0,0,3,8,0,2003,0,47.5391,-122.07,2580,3980
32,280000,2,1.5,3,0,0,3,7,0,2005,0,47.7274,-122.357,1390,1756
33,687500,4,1.75,1.5,0,0,4,7,820,1929,0,47.6823,-122.368,1460,5000
34,535000,3,1,1.5,0,0,4,8,0,1929,0,47.6889,-122.375,1570,5080
35,322500,4,2.75,1,0,0,3,7,780,1981,0,47.4276,-122.157,2020,8720
36,696000,3,2.5,1.5,0,0,3,8,790,1930,2002,47.6827,-122.31,1590,3264
37,550000,4,1,1,0,0,1,5,730,1933,0,47.6621,-122.132,2160,11467
38,640000,4,2,2,0,0,4,8,0,1904,0,47.6702,-122.362,1730,4700
39,240000,4,1,1,0,0,2,7,330,1969,0,47.3341,-122.282,1290,7800
40,605000,4,2.5,2,0,0,3,8,0,1996,0,47.5301,-122.18,2620,11884
41,625000,4,2.5,2,0,0,3,9,0,2000,0,47.6145,-122.027,2470,5669
42,775000,4,2.25,1,0,0,3,8,1620,1984,0,47.445,-122.347,2410,30617
43,861990,5,2.75,2,0,0,3,9,0,2014,0,47.6848,-122.016,3625,5639
44,685000,3,1,2,0,0,3,7,0,1922,0,47.6413,-122.364,1580,2640
45,309000,3,1,1,0,0,4,6,360,1959,0,47.4485,-122.175,1340,8808
46,488000,3,2.5,2,0,0,3,8,0,2003,0,47.7443,-121.977,3050,9232
47,210490,3,1,1,0,0,3,6,0,1966,0,47.3066,-122.371,1228,8840
48,785000,4,2.5,2,0,0,4,9,0,1981,0,47.6194,-122.151,2680,13685
49,450000,3,1.75,1,0,0,4,7,0,1953,0,47.6796,-122.301,970,5100
50,1.35E+06,3,2.5,1,1,2,5,9,588,1953,0,47.4041,-122.451,2680,72513
51,228000,3,1,1,0,0,3,7,0,1955,0,47.4258,-122.322,1190,9364
52,345000,5,2.5,1,0,0,4,8,1510,1966,0,47.4934,-122.189,1990,9133
53,600000,3,1.75,1,0,0,4,7,410,1950,0,47.6808,-122.384,1410,4080
54,585000,2,1.75,1,0,0,3,7,990,1981,0,47.6989,-122.369,1480,6738
55,920000,5,2.25,1.5,0,0,3,8,600,1927,0,47.6571,-122.281,2730,6000
56,885000,4,2.5,2,0,0,3,9,0,1995,0,47.6597,-122.29,1950,5000
57,292500,4,2.5,2,0,0,3,7,0,2008,0,47.3663,-122.114,2250,4500
58,301000,3,2.5,2,0,0,3,8,0,2003,0,47.3663,-122.122,2690,4750
59,951000,5,3.25,2,0,4,4,8,0,1968,0,47.588,-122.116,2960,11044
60,430000,4,3,2,0,0,3,8,0,1991,0,47.5059,-122.149,2270,8542
61,650000,3,2.25,1,0,3,4,8,560,1959,0,47.4336,-122.339,2570,18900
62,289000,3,1.75,1,0,0,3,7,0,1954,0,47.4366,-122.335,1290,8750
63,505000,3,1.75,2,0,0,5,8,0,1973,0,47.4428,-122.344,2500,9500
64,549000,3,1.75,3,0,0,3,8,0,2014,0,47.6765,-122.32,1580,3090
65,425000,3,2.25,1,0,0,3,7,550,1979,0,47.6113,-122.297,1440,4080
66,317625,3,2.75,1.5,0,0,5,7,1000,1925,0,47.5747,-122.304,1440,4000
67,975000,4,2.5,2,0,0,3,10,0,1989,0,47.5815,-122.192,2750,11049
68,287000,4,2.5,2,0,0,3,7,0,2005,0,47.3378,-122.257,2221,4557
69,204000,3,1,1,0,0,4,7,0,1968,0,47.3621,-122.11,1010,12635
70,1.33E+06,5,2.25,1,0,0,3,8,1600,1965,0,47.6303,-122.215,3390,20158
71,1.04E+06,5,3.25,1,0,0,4,11,1700,1973,0,47.6525,-122.16,3530,38917
72,325000,3,2,1,0,0,4,7,0,1972,0,47.7362,-122.179,1640,4745
73,571000,4,2,1.5,0,0,5,7,500,1916,0,47.7168,-122.287,1510,7807
74,360000,4,2.5,2,0,0,3,8,0,2005,0,47.3608,-122.036,2420,5000
75,349000,3,1.75,1,0,0,5,7,700,1965,0,47.3511,-122.073,1940,50529
76,832500,4,4,2,0,0,4,10,1040,1986,0,47.5822,-121.987,3240,35020
77,380000,4,1.75,1,0,0,3,7,880,1956,0,47.6034,-122.125,1680,7500
78,480000,3,1,1,0,0,3,7,0,1941,0,47.5636,-122.394,890,5060
79,410000,3,1,1,0,0,4,7,500,1956,0,47.7073,-122.34,1130,5693
80,720000,4,2.5,2,0,0,3,10,0,2002,0,47.342,-122.025,3350,39750
81,390000,3,2.5,2,0,0,3,8,0,2003,0,47.3512,-122.008,2350,5363
82,360000,4,2.5,2,0,0,3,7,0,1992,0,47.349,-122.031,1870,6405
83,355000,2,1,1,0,0,3,7,1010,1948,0,47.5474,-122.291,1720,6720
84,356000,3,1.5,1,0,0,3,8,0,1964,0,47.4811,-122.149,1850,8797
85,315000,3,1,1,0,0,3,6,0,1952,0,47.7264,-122.31,1570,7203
86,940000,3,1.5,2,0,0,3,9,240,1925,0,47.6337,-122.365,2020,4800
87,305000,5,2.25,1.5,0,0,5,7,0,1961,0,47.2909,-122.189,1590,8165
88,461000,3,3.25,2,0,0,3,9,790,2006,0,47.5228,-122.199,1900,7349
89,215000,2,2.25,2,0,0,4,7,0,1979,0,47.518,-122.194,1950,2025
90,335000,2,1.75,2,0,0,3,7,265,2006,0,47.5394,-122.387,1030,1106
91,243500,4,2.5,2,0,0,3,7,0,1988,0,47.2897,-122.372,1980,7510
92,1.10E+06,5,2.75,2,0,0,4,10,0,2001,0,47.6506,-122.391,2520,6250
93,153000,3,1,1,0,0,3,7,0,1962,0,47.322,-122.351,1350,10500
94,430000,3,1.5,1,0,0,3,8,290,1939,0,47.687,-122.386,1570,4500
95,700000,3,1.5,1,0,0,3,8,290,1939,0,47.687,-122.386,1570,4500
96,905000,4,2.5,1,0,0,3,7,910,1946,1991,47.5873,-122.249,1950,6045
97,247500,3,1.75,1,0,0,3,7,0,1967,0,47.3576,-122.277,1750,15616
98,199000,4,1.5,1,0,0,4,7,0,1975,0,47.3036,-122.378,1160,6400
99,314000,3,1.75,1,0,0,5,7,600,1980,0,47.4109,-121.958,1650,135036
100,437500,3,2.5,2,0,2,3,9,0,1992,0,47.4838,-121.714,2550,35065
101,850830,3,2.5,1.5,0,0,5,9,800,1910,0,47.6415,-122.315,2200,4500
102,555000,3,2,1.5,0,0,4,7,540,1929,0,47.6775,-122.372,1610,3478
